Name,Price (inr),Price(usd),Link
Arduino Nano,199,2.313953488,https://robocraze.com/products/nano-development-board-compatible-with-arduino?variant=40192425033881
Hall Sensor,32,0.3720930233,https://robocraze.com/products/hall-effect-sensor-module?variant=40192576618649
TP4056,15,0.1744186047,https://robocraze.com/products/tp4056-lithium-battery-charging-board?variant=40192693633177
Battery,64,0.7441860465,https://robocraze.com/products/3-7v-2000mah-18650-li-ion-battery?variant=41414818758809
Red Led,13,0.1511627907,https://robocraze.com/products/5mm-red-led-pack-of-11?_pos=1&_sid=0b908843a&_ss=r
Green led,13,0.1511627907,https://robocraze.com/products/5mm-green-led-pack-of-10?_pos=3&_sid=0b908843a&_ss=r
Blue Led,13,0.1511627907,https://robocraze.com/products/5mm-white-blue-led-pack-of-10?_pos=3&_sid=a137fae68&_ss=r
Orange Led,14,0.1627906977,https://robocraze.com/products/5-mm-orange-led-pack-of-10?_pos=12&_sid=a137fae68&_ss=r
Step Up,34,0.3953488372,https://robocraze.com/products/dc-dc-sx1308-step-up-adjustable-power-module?_pos=2&_sid=93a0f42c9&_ss=r
Resistor,11,0.1279069767,https://robocraze.com/products/100-ohm-resistor-pack-of-10?_pos=1&_sid=15935630f&_ss=r
DC Motor,159,1.848837209,https://robocraze.com/products/1000rpm-12v-dc-motor?_pos=22&_sid=590a65af8&_ss=r
Vero Board,72,0.8372093023,https://robocraze.com/products/vero-board-3-x4?_pos=2&_sid=03c36c105&_ss=r
Jack Connector,18,0.2093023256,https://robocraze.com/products/dc-power-female-plug-jack-adapter-connector?_pos=2&_sid=edf25f0b7&_ss=r
Misc + Capacitor,80,0.9302325581,
Total ,737,8.569767442,
,,0,
,,0,